dataset_split,example_id,repo_name,repo_url,commit_sha,license,file_path,language,method_name,qualified_name,start_line,end_line,signature,original_code,doc_comment,code_tokens
eval,spring-boot@abc123:src/main/java/com/example/util/Utils.java#292-339,spring-boot,https://github.com/example/spring-boot,tqvpackk2na,Apache-2.0,src/main/java/com/example/util/Utils.java,Java,validate,com.example.util.Utils#validate,292,339,"public static String validate(String input)","public static String validate(String input) {
    // Method implementation
    return input.trim();
}","/** Validates the input string. */","public, static, String, validate, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,elasticsearch@abc123:src/main/java/org/springframework/boot/Utils.java#227-236,elasticsearch,https://github.com/example/elasticsearch,snxbj85w0gt,Apache-2.0,src/main/java/org/springframework/boot/Utils.java,Java,transform,org.springframework.boot.Utils#transform,227,236,"public static String transform(String input)","public static String transform(String input) {
    // Method implementation
    return input.trim();
}","/** Transforms the input string. */","public, static, String, transform, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,rxjava@abc123:src/main/java/io/reactivex/Utils.java#257-292,rxjava,https://github.com/example/rxjava,m02ui3ganb,Apache-2.0,src/main/java/io/reactivex/Utils.java,Java,calculate,io.reactivex.Utils#calculate,257,292,"public static String calculate(String input)","public static String calculate(String input) {
    // Method implementation
    return input.trim();
}","/** Calculates the input string. */","public, static, String, calculate, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,okhttp@abc123:src/main/java/okhttp3/Utils.java#368-436,okhttp,https://github.com/example/okhttp,s8xv8ltw8sp,Apache-2.0,src/main/java/okhttp3/Utils.java,Java,parse,okhttp3.Utils#parse,368,436,"public static String parse(String input)","public static String parse(String input) {
    // Method implementation
    return input.trim();
}","/** Parses the input string. */","public, static, String, parse, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,gson@abc123:src/main/java/com/example/util/Utils.java#16-57,gson,https://github.com/example/gson,4lozo7m3v4t,Apache-2.0,src/main/java/com/example/util/Utils.java,Java,execute,com.example.util.Utils#execute,16,57,"public static String execute(String input)","public static String execute(String input) {
    // Method implementation
    return input.trim();
}","/** Executes the input string. */","public, static, String, execute, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,spring-boot@abc123:src/main/java/org/springframework/boot/Utils.java#188-227,spring-boot,https://github.com/example/spring-boot,vinicb55o7,Apache-2.0,src/main/java/org/springframework/boot/Utils.java,Java,handle,org.springframework.boot.Utils#handle,188,227,"public static String handle(String input)","public static String handle(String input) {
    // Method implementation
    return input.trim();
}","/** Handles the input string. */","public, static, String, handle, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,elasticsearch@abc123:src/main/java/io/reactivex/Utils.java#141-223,elasticsearch,https://github.com/example/elasticsearch,j1eoxa2fbqa,Apache-2.0,src/main/java/io/reactivex/Utils.java,Java,process,io.reactivex.Utils#process,141,223,"public static String process(String input)","public static String process(String input) {
    // Method implementation
    return input.trim();
}","/** Processs the input string. */","public, static, String, process, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,rxjava@abc123:src/main/java/okhttp3/Utils.java#144-209,rxjava,https://github.com/example/rxjava,fctfg4fu5pq,Apache-2.0,src/main/java/okhttp3/Utils.java,Java,validate,okhttp3.Utils#validate,144,209,"public static String validate(String input)","public static String validate(String input) {
    // Method implementation
    return input.trim();
}","/** Validates the input string. */","public, static, String, validate, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,okhttp@abc123:src/main/java/com/example/util/Utils.java#161-241,okhttp,https://github.com/example/okhttp,g0yjbmiun4n,Apache-2.0,src/main/java/com/example/util/Utils.java,Java,transform,com.example.util.Utils#transform,161,241,"public static String transform(String input)","public static String transform(String input) {
    // Method implementation
    return input.trim();
}","/** Transforms the input string. */","public, static, String, transform, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,gson@abc123:src/main/java/org/springframework/boot/Utils.java#379-395,gson,https://github.com/example/gson,c4t5fqjqg7,Apache-2.0,src/main/java/org/springframework/boot/Utils.java,Java,calculate,org.springframework.boot.Utils#calculate,379,395,"public static String calculate(String input)","public static String calculate(String input) {
    // Method implementation
    return input.trim();
}","/** Calculates the input string. */","public, static, String, calculate, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,spring-boot@abc123:src/main/java/io/reactivex/Utils.java#58-118,spring-boot,https://github.com/example/spring-boot,c5zqw8crmy7,Apache-2.0,src/main/java/io/reactivex/Utils.java,Java,parse,io.reactivex.Utils#parse,58,118,"public static String parse(String input)","public static String parse(String input) {
    // Method implementation
    return input.trim();
}","/** Parses the input string. */","public, static, String, parse, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,elasticsearch@abc123:src/main/java/okhttp3/Utils.java#488-571,elasticsearch,https://github.com/example/elasticsearch,0uy11c2xx4e9,Apache-2.0,src/main/java/okhttp3/Utils.java,Java,execute,okhttp3.Utils#execute,488,571,"public static String execute(String input)","public static String execute(String input) {
    // Method implementation
    return input.trim();
}","/** Executes the input string. */","public, static, String, execute, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,rxjava@abc123:src/main/java/com/example/util/Utils.java#138-144,rxjava,https://github.com/example/rxjava,nit56p8grq,Apache-2.0,src/main/java/com/example/util/Utils.java,Java,handle,com.example.util.Utils#handle,138,144,"public static String handle(String input)","public static String handle(String input) {
    // Method implementation
    return input.trim();
}","/** Handles the input string. */","public, static, String, handle, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,okhttp@abc123:src/main/java/org/springframework/boot/Utils.java#86-100,okhttp,https://github.com/example/okhttp,zj5ij3yfpn,Apache-2.0,src/main/java/org/springframework/boot/Utils.java,Java,process,org.springframework.boot.Utils#process,86,100,"public static String process(String input)","public static String process(String input) {
    // Method implementation
    return input.trim();
}","/** Processs the input string. */","public, static, String, process, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,gson@abc123:src/main/java/io/reactivex/Utils.java#275-313,gson,https://github.com/example/gson,6s6cvynugtx,Apache-2.0,src/main/java/io/reactivex/Utils.java,Java,validate,io.reactivex.Utils#validate,275,313,"public static String validate(String input)","public static String validate(String input) {
    // Method implementation
    return input.trim();
}","/** Validates the input string. */","public, static, String, validate, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,spring-boot@abc123:src/main/java/okhttp3/Utils.java#368-408,spring-boot,https://github.com/example/spring-boot,845w99yhb2u,Apache-2.0,src/main/java/okhttp3/Utils.java,Java,transform,okhttp3.Utils#transform,368,408,"public static String transform(String input)","public static String transform(String input) {
    // Method implementation
    return input.trim();
}","/** Transforms the input string. */","public, static, String, transform, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,elasticsearch@abc123:src/main/java/com/example/util/Utils.java#328-379,elasticsearch,https://github.com/example/elasticsearch,5fyrgoh1fqw,Apache-2.0,src/main/java/com/example/util/Utils.java,Java,calculate,com.example.util.Utils#calculate,328,379,"public static String calculate(String input)","public static String calculate(String input) {
    // Method implementation
    return input.trim();
}","/** Calculates the input string. */","public, static, String, calculate, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,rxjava@abc123:src/main/java/org/springframework/boot/Utils.java#170-193,rxjava,https://github.com/example/rxjava,s46hv7m8im,Apache-2.0,src/main/java/org/springframework/boot/Utils.java,Java,parse,org.springframework.boot.Utils#parse,170,193,"public static String parse(String input)","public static String parse(String input) {
    // Method implementation
    return input.trim();
}","/** Parses the input string. */","public, static, String, parse, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,okhttp@abc123:src/main/java/io/reactivex/Utils.java#461-487,okhttp,https://github.com/example/okhttp,87mw1ztcs6h,Apache-2.0,src/main/java/io/reactivex/Utils.java,Java,execute,io.reactivex.Utils#execute,461,487,"public static String execute(String input)","public static String execute(String input) {
    // Method implementation
    return input.trim();
}","/** Executes the input string. */","public, static, String, execute, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,gson@abc123:src/main/java/okhttp3/Utils.java#349-355,gson,https://github.com/example/gson,zhsa8eml8oa,Apache-2.0,src/main/java/okhttp3/Utils.java,Java,handle,okhttp3.Utils#handle,349,355,"public static String handle(String input)","public static String handle(String input) {
    // Method implementation
    return input.trim();
}","/** Handles the input string. */","public, static, String, handle, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,spring-boot@abc123:src/main/java/com/example/util/Utils.java#192-241,spring-boot,https://github.com/example/spring-boot,btl78nvwiy7,Apache-2.0,src/main/java/com/example/util/Utils.java,Java,process,com.example.util.Utils#process,192,241,"public static String process(String input)","public static String process(String input) {
    // Method implementation
    return input.trim();
}","/** Processs the input string. */","public, static, String, process, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,elasticsearch@abc123:src/main/java/org/springframework/boot/Utils.java#70-105,elasticsearch,https://github.com/example/elasticsearch,usym4b4hs8,Apache-2.0,src/main/java/org/springframework/boot/Utils.java,Java,validate,org.springframework.boot.Utils#validate,70,105,"public static String validate(String input)","public static String validate(String input) {
    // Method implementation
    return input.trim();
}","/** Validates the input string. */","public, static, String, validate, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,rxjava@abc123:src/main/java/io/reactivex/Utils.java#141-178,rxjava,https://github.com/example/rxjava,v02ikwm16p8,Apache-2.0,src/main/java/io/reactivex/Utils.java,Java,transform,io.reactivex.Utils#transform,141,178,"public static String transform(String input)","public static String transform(String input) {
    // Method implementation
    return input.trim();
}","/** Transforms the input string. */","public, static, String, transform, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,okhttp@abc123:src/main/java/okhttp3/Utils.java#57-123,okhttp,https://github.com/example/okhttp,59pvx1cbbcj,Apache-2.0,src/main/java/okhttp3/Utils.java,Java,calculate,okhttp3.Utils#calculate,57,123,"public static String calculate(String input)","public static String calculate(String input) {
    // Method implementation
    return input.trim();
}","/** Calculates the input string. */","public, static, String, calculate, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,gson@abc123:src/main/java/com/example/util/Utils.java#141-218,gson,https://github.com/example/gson,blln7ij6riq,Apache-2.0,src/main/java/com/example/util/Utils.java,Java,parse,com.example.util.Utils#parse,141,218,"public static String parse(String input)","public static String parse(String input) {
    // Method implementation
    return input.trim();
}","/** Parses the input string. */","public, static, String, parse, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,spring-boot@abc123:src/main/java/org/springframework/boot/Utils.java#32-94,spring-boot,https://github.com/example/spring-boot,btm8qhvdf14,Apache-2.0,src/main/java/org/springframework/boot/Utils.java,Java,execute,org.springframework.boot.Utils#execute,32,94,"public static String execute(String input)","public static String execute(String input) {
    // Method implementation
    return input.trim();
}","/** Executes the input string. */","public, static, String, execute, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,elasticsearch@abc123:src/main/java/io/reactivex/Utils.java#364-387,elasticsearch,https://github.com/example/elasticsearch,j1g5jnp9uep,Apache-2.0,src/main/java/io/reactivex/Utils.java,Java,handle,io.reactivex.Utils#handle,364,387,"public static String handle(String input)","public static String handle(String input) {
    // Method implementation
    return input.trim();
}","/** Handles the input string. */","public, static, String, handle, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,rxjava@abc123:src/main/java/okhttp3/Utils.java#460-512,rxjava,https://github.com/example/rxjava,0uyfjnd6w3j,Apache-2.0,src/main/java/okhttp3/Utils.java,Java,process,okhttp3.Utils#process,460,512,"public static String process(String input)","public static String process(String input) {
    // Method implementation
    return input.trim();
}","/** Processs the input string. */","public, static, String, process, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,okhttp@abc123:src/main/java/com/example/util/Utils.java#108-115,okhttp,https://github.com/example/okhttp,okhym06gmro,Apache-2.0,src/main/java/com/example/util/Utils.java,Java,validate,com.example.util.Utils#validate,108,115,"public static String validate(String input)","public static String validate(String input) {
    // Method implementation
    return input.trim();
}","/** Validates the input string. */","public, static, String, validate, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,gson@abc123:src/main/java/org/springframework/boot/Utils.java#496-527,gson,https://github.com/example/gson,v49878ninxh,Apache-2.0,src/main/java/org/springframework/boot/Utils.java,Java,transform,org.springframework.boot.Utils#transform,496,527,"public static String transform(String input)","public static String transform(String input) {
    // Method implementation
    return input.trim();
}","/** Transforms the input string. */","public, static, String, transform, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,spring-boot@abc123:src/main/java/io/reactivex/Utils.java#499-564,spring-boot,https://github.com/example/spring-boot,j82aju33rpe,Apache-2.0,src/main/java/io/reactivex/Utils.java,Java,calculate,io.reactivex.Utils#calculate,499,564,"public static String calculate(String input)","public static String calculate(String input) {
    // Method implementation
    return input.trim();
}","/** Calculates the input string. */","public, static, String, calculate, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,elasticsearch@abc123:src/main/java/okhttp3/Utils.java#389-461,elasticsearch,https://github.com/example/elasticsearch,z88hstwe1gl,Apache-2.0,src/main/java/okhttp3/Utils.java,Java,parse,okhttp3.Utils#parse,389,461,"public static String parse(String input)","public static String parse(String input) {
    // Method implementation
    return input.trim();
}","/** Parses the input string. */","public, static, String, parse, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,rxjava@abc123:src/main/java/com/example/util/Utils.java#440-475,rxjava,https://github.com/example/rxjava,kvdfpwqwyp,Apache-2.0,src/main/java/com/example/util/Utils.java,Java,execute,com.example.util.Utils#execute,440,475,"public static String execute(String input)","public static String execute(String input) {
    // Method implementation
    return input.trim();
}","/** Executes the input string. */","public, static, String, execute, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,okhttp@abc123:src/main/java/org/springframework/boot/Utils.java#236-261,okhttp,https://github.com/example/okhttp,zamk9expmc,Apache-2.0,src/main/java/org/springframework/boot/Utils.java,Java,handle,org.springframework.boot.Utils#handle,236,261,"public static String handle(String input)","public static String handle(String input) {
    // Method implementation
    return input.trim();
}","/** Handles the input string. */","public, static, String, handle, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,gson@abc123:src/main/java/io/reactivex/Utils.java#396-463,gson,https://github.com/example/gson,ghfoxodnuov,Apache-2.0,src/main/java/io/reactivex/Utils.java,Java,process,io.reactivex.Utils#process,396,463,"public static String process(String input)","public static String process(String input) {
    // Method implementation
    return input.trim();
}","/** Processs the input string. */","public, static, String, process, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,spring-boot@abc123:src/main/java/okhttp3/Utils.java#238-293,spring-boot,https://github.com/example/spring-boot,44yfhkixxco,Apache-2.0,src/main/java/okhttp3/Utils.java,Java,validate,okhttp3.Utils#validate,238,293,"public static String validate(String input)","public static String validate(String input) {
    // Method implementation
    return input.trim();
}","/** Validates the input string. */","public, static, String, validate, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,elasticsearch@abc123:src/main/java/com/example/util/Utils.java#80-149,elasticsearch,https://github.com/example/elasticsearch,1nm4xbqtcjs,Apache-2.0,src/main/java/com/example/util/Utils.java,Java,transform,com.example.util.Utils#transform,80,149,"public static String transform(String input)","public static String transform(String input) {
    // Method implementation
    return input.trim();
}","/** Transforms the input string. */","public, static, String, transform, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,rxjava@abc123:src/main/java/org/springframework/boot/Utils.java#261-315,rxjava,https://github.com/example/rxjava,z2s9836gvgl,Apache-2.0,src/main/java/org/springframework/boot/Utils.java,Java,calculate,org.springframework.boot.Utils#calculate,261,315,"public static String calculate(String input)","public static String calculate(String input) {
    // Method implementation
    return input.trim();
}","/** Calculates the input string. */","public, static, String, calculate, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
eval,okhttp@abc123:src/main/java/io/reactivex/Utils.java#41-61,okhttp,https://github.com/example/okhttp,1sj5ylrhn0f,Apache-2.0,src/main/java/io/reactivex/Utils.java,Java,parse,io.reactivex.Utils#parse,41,61,"public static String parse(String input)","public static String parse(String input) {
    // Method implementation
    return input.trim();
}","/** Parses the input string. */","public, static, String, parse, (, String, input, ), {, return, input, ., trim, (, ), ;, }"
